predict,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,residual
5242.009440861231,1,5,1438326000000,5263,555,1,1,0,1,c,a,1270,9,2008,0,,,,20.99055913876873
6262.600822887904,2,5,1438326000000,6064,625,1,1,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",-198.60082288790363
11147.051337115056,11,5,1438326000000,10457,1236,1,1,0,1,a,c,960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",-690.0513371150555
8383.812468520886,17,5,1438326000000,8430,946,1,1,0,1,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",46.187531479114114
8288.219786963946,19,5,1438326000000,8234,718,1,1,0,1,a,c,3240,,,1,22,2011,"Mar,Jun,Sept,Dec",-54.21978696394581
13818.718067161328,25,5,1438326000000,14180,1586,1,1,0,1,c,a,430,4,2003,0,,,,361.2819328386722
7394.274158589131,32,5,1438326000000,6395,635,1,1,0,0,a,a,2910,,,1,45,2009,"Feb,May,Aug,Nov",-999.2741585891308
9015.165050461477,33,5,1438326000000,10789,915,1,1,0,1,a,c,1320,5,2013,0,,,,1773.8349495385228
11178.310904554612,34,5,1438326000000,11144,1162,1,1,0,1,c,a,2240,9,2009,0,,,,-34.310904554611625
10338.737859300858,35,5,1438326000000,12412,777,1,1,0,1,d,c,7660,10,2000,1,1,2012,"Jan,Apr,Jul,Oct",2073.262140699142
8456.164598933941,39,5,1438326000000,8336,929,1,1,0,1,a,a,260,10,2006,1,31,2013,"Feb,May,Aug,Nov",-120.1645989339413
9356.134623042828,47,5,1438326000000,9379,1021,1,1,0,1,a,c,270,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",22.865376957171975
4067.1980756144585,48,5,1438326000000,3874,390,1,1,0,1,a,a,1060,5,2012,0,,,,-193.1980756144585
8264.592583231217,49,5,1438326000000,10310,666,1,1,0,1,d,c,18010,9,2007,0,,,,2045.4074167687832
7719.97784411121,51,5,1438326000000,9198,610,1,1,0,0,a,c,10570,7,2013,1,9,2011,"Jan,Apr,Jul,Oct",1478.0221558887897
11732.186906657702,54,5,1438326000000,10732,889,1,1,0,1,d,c,7170,8,2014,1,5,2013,"Feb,May,Aug,Nov",-1000.1869066577019
7373.03596176911,59,5,1438326000000,7148,628,1,1,0,1,a,c,2840,6,2007,1,14,2011,"Jan,Apr,Jul,Oct",-225.03596176911014
12782.290958098656,69,5,1438326000000,11204,1371,1,1,0,1,c,c,1130,,,1,40,2011,"Jan,Apr,Jul,Oct",-1578.2909580986561
5873.460030905491,72,5,1438326000000,5251,520,1,1,0,0,a,a,2200,12,2009,1,13,2010,"Jan,Apr,Jul,Oct",-622.4600309054913
6557.267733595854,79,5,1438326000000,7150,643,1,1,0,1,a,a,3320,,,0,,,,592.7322664041458
7887.1962695639195,80,5,1438326000000,9810,675,1,1,0,1,d,a,7910,,,0,,,,1922.8037304360805
8445.776534512228,85,5,1438326000000,7791,971,1,1,0,1,b,a,1870,10,2011,0,,,,-654.776534512228
6609.150252781397,86,5,1438326000000,5572,678,1,1,0,1,a,a,480,2,2005,1,31,2013,"Jan,Apr,Jul,Oct",-1037.1502527813973
8063.0148675363125,89,5,1438326000000,7295,716,1,1,0,0,a,a,2380,7,2004,1,40,2014,"Jan,Apr,Jul,Oct",-768.0148675363125
6180.812346838004,91,5,1438326000000,6164,554,1,1,0,1,c,a,2410,,,1,35,2011,"Jan,Apr,Jul,Oct",-16.812346838003577
8784.040638975388,100,5,1438326000000,10280,764,1,1,0,0,d,a,17930,,,0,,,,1495.959361024612
9739.711574844605,111,5,1438326000000,8897,698,1,1,0,1,d,c,7890,,,1,37,2009,"Jan,Apr,Jul,Oct",-842.7115748446049
6988.720992348677,114,5,1438326000000,5750,620,1,1,0,1,c,a,4510,,,1,48,2011,"Mar,Jun,Sept,Dec",-1238.720992348677
7193.739150300211,119,5,1438326000000,7038,684,1,1,0,1,a,c,2100,2,2010,0,,,,-155.7391503002109
9887.451927028185,120,5,1438326000000,10392,794,1,1,0,1,d,a,2290,12,2014,1,37,2009,"Jan,Apr,Jul,Oct",504.5480729718147
6027.2817324619355,121,5,1438326000000,4565,549,1,1,0,1,a,a,3570,11,2009,1,36,2013,"Mar,Jun,Sept,Dec",-1462.2817324619355
10997.484265856034,123,5,1438326000000,10750,1108,1,1,0,1,a,a,16760,9,2011,0,,,,-247.48426585603374
7147.326533868498,124,5,1438326000000,7464,780,1,1,0,1,a,a,1410,4,2003,0,,,,316.6734661315022
16956.061200610882,125,5,1438326000000,18227,2041,1,1,0,1,a,a,760,12,2005,0,,,,1270.9387993891178
12324.289856485611,129,5,1438326000000,10241,1286,1,1,0,0,a,a,2460,,,1,14,2011,"Jan,Apr,Jul,Oct",-2083.2898564856114
5819.792417846209,130,5,1438326000000,5404,545,1,1,0,1,c,a,900,,,1,13,2010,"Jan,Apr,Jul,Oct",-415.792417846209
7749.644364408738,149,5,1438326000000,7144,615,1,1,0,0,d,a,2610,7,2006,1,14,2011,"Jan,Apr,Jul,Oct",-605.6443644087376
10278.860705427414,150,5,1438326000000,10826,975,1,1,0,1,c,c,31830,3,2010,0,,,,547.1392945725856
5678.144390634781,165,5,1438326000000,5009,501,1,1,0,0,a,a,3720,4,2005,1,13,2010,"Jan,Apr,Jul,Oct",-669.1443906347813
6454.3355720858635,182,5,1438326000000,6755,491,1,1,0,1,d,c,1390,,,1,9,2011,"Mar,Jun,Sept,Dec",300.66442791413647
7588.423124305493,183,5,1438326000000,5588,714,1,1,0,0,a,a,9670,,,0,,,,-2000.4231243054928
7045.610100470072,185,5,1438326000000,7958,602,1,1,0,1,d,c,1860,5,2015,0,,,,912.3898995299278
8231.505031279808,190,5,1438326000000,9772,821,1,1,0,0,a,a,1470,12,2006,1,40,2014,"Jan,Apr,Jul,Oct",1540.4949687201915
7465.4070147187995,194,5,1438326000000,6708,518,1,1,0,1,d,c,16970,,,1,5,2013,"Feb,May,Aug,Nov",-757.4070147187995
10822.29613558907,200,5,1438326000000,11177,1122,1,1,0,1,a,a,1650,10,2000,0,,,,354.7038644109307
7035.78375904966,201,5,1438326000000,6625,544,1,1,0,1,d,a,20260,,,1,18,2014,"Mar,Jun,Sept,Dec",-410.78375904966015
7864.623804769999,202,5,1438326000000,7940,627,1,1,0,1,d,c,5140,5,2010,0,,,,75.37619523000103
7692.857007495648,204,5,1438326000000,7189,655,1,1,0,0,a,a,5630,12,2002,1,40,2014,"Jan,Apr,Jul,Oct",-503.85700749564785
14415.17473631311,207,5,1438326000000,13957,1436,1,1,0,1,a,a,6870,,,0,,,,-458.17473631311077
5168.004071972853,210,5,1438326000000,4275,409,1,1,0,1,d,a,970,11,1999,1,5,2013,"Feb,May,Aug,Nov",-893.0040719728531
10008.011542521006,213,5,1438326000000,10485,754,1,1,0,1,d,c,4030,3,2014,1,1,2014,"Jan,Apr,Jul,Oct",476.98845747899395
9501.932054511792,216,5,1438326000000,10252,1077,1,1,0,1,c,a,190,,,1,45,2009,"Feb,May,Aug,Nov",750.0679454882084
7833.975195161587,218,5,1438326000000,5685,768,1,1,0,0,a,c,640,,,1,9,2011,"Mar,Jun,Sept,Dec",-2148.975195161587
8017.288108162171,221,5,1438326000000,7750,651,1,1,0,1,d,c,13530,9,2013,0,,,,-267.28810816217083
6413.24176301021,226,5,1438326000000,8052,730,1,1,0,1,a,a,450,,,0,,,,1638.75823698979
9569.800160221344,228,5,1438326000000,10369,689,1,1,0,1,d,c,10800,,,1,18,2011,"Feb,May,Aug,Nov",799.1998397786556
12413.710063777453,230,5,1438326000000,10988,1091,1,1,0,1,d,c,6680,9,2013,0,,,,-1425.710063777453
11938.896289906985,234,5,1438326000000,13943,1088,1,1,0,1,d,a,4370,,,0,,,,2004.1037100930153
11848.429534904248,238,5,1438326000000,11530,1372,1,1,0,1,a,a,320,,,1,45,2009,"Feb,May,Aug,Nov",-318.4295349042477
6176.006447515971,239,5,1438326000000,6757,523,1,1,0,1,d,c,610,,,0,,,,580.9935524840294
8663.540814771837,241,5,1438326000000,8650,763,1,1,0,1,d,c,780,,,0,,,,-13.540814771837177
11136.990621141678,246,5,1438326000000,10031,1131,1,1,0,1,c,a,4660,4,2013,0,,,,-1105.9906211416783
10115.19333910156,247,5,1438326000000,11660,839,1,1,0,1,d,c,70,11,2010,1,5,2013,"Feb,May,Aug,Nov",1544.806660898441
11292.06008838821,248,5,1438326000000,11444,1228,1,1,0,1,a,c,340,9,2012,1,40,2012,"Jan,Apr,Jul,Oct",151.93991161178928
10367.109304986483,250,5,1438326000000,13232,887,1,1,0,1,d,a,3520,,,1,18,2012,"Feb,May,Aug,Nov",2864.890695013517
20208.248653821236,251,5,1438326000000,22205,2508,1,1,0,1,a,c,340,,,0,,,,1996.751346178764
8689.631314597613,255,5,1438326000000,8711,739,1,1,0,1,c,c,4630,3,2011,1,35,2011,"Feb,May,Aug,Nov",21.3686854023872
6620.421108617968,257,5,1438326000000,6874,749,1,1,0,1,a,a,420,12,2012,0,,,,253.57889138203245
7057.644831917769,265,5,1438326000000,7502,655,1,1,0,1,a,a,4580,,,1,14,2015,"Jan,Apr,Jul,Oct",444.3551680822311
11702.252325348145,270,5,1438326000000,11643,1338,1,1,0,1,a,a,1450,7,2014,0,,,,-59.25232534814495
8297.433651946074,271,5,1438326000000,10104,934,1,1,0,1,a,a,420,,,1,14,2011,"Jan,Apr,Jul,Oct",1806.566348053926
8317.597842745072,272,5,1438326000000,9109,774,1,1,0,1,a,a,16180,7,2003,1,14,2011,"Jan,Apr,Jul,Oct",791.4021572549282
6328.460069559103,276,5,1438326000000,5272,575,1,1,0,1,a,a,2960,10,2014,1,36,2013,"Mar,Jun,Sept,Dec",-1056.4600695591034
10543.397535971886,279,5,1438326000000,12709,814,1,1,0,0,d,c,2320,,,1,40,2012,"Jan,Apr,Jul,Oct",2165.602464028114
7960.167388163096,281,5,1438326000000,8053,633,1,1,0,1,d,c,6970,9,2011,0,,,,92.8326118369041
7194.2041555564465,284,5,1438326000000,6788,520,1,1,0,0,d,a,1290,,,1,40,2014,"Jan,Apr,Jul,Oct",-406.2041555564465
7462.684473000056,289,5,1438326000000,7522,616,1,1,0,1,d,a,6540,12,2007,0,,,,59.31552699994427
9108.51039200235,296,5,1438326000000,8579,801,1,1,0,1,a,a,9580,5,2007,1,45,2014,"Feb,May,Aug,Nov",-529.5103920023503
6997.904908440596,301,5,1438326000000,6665,629,1,1,0,1,a,c,4510,3,2015,0,,,,-332.90490844059605
11201.30231028009,313,5,1438326000000,10432,926,1,1,0,1,d,c,14160,,,0,,,,-769.3023102800908
7664.740557334906,314,5,1438326000000,6661,700,1,1,0,1,a,a,3560,10,2001,1,31,2013,"Feb,May,Aug,Nov",-1003.740557334906
10570.21334748674,316,5,1438326000000,11678,927,1,1,0,1,d,a,9000,8,2001,0,,,,1107.7866525132595
8302.322130493409,317,5,1438326000000,7374,683,1,1,0,0,d,a,3140,7,2013,1,14,2011,"Jan,Apr,Jul,Oct",-928.3221304934086
9065.434595159775,318,5,1438326000000,8026,746,1,1,0,1,d,c,32330,3,2014,0,,,,-1039.4345951597752
19386.894449166542,320,5,1438326000000,19898,2316,1,1,0,1,a,c,210,9,2012,0,,,,511.1055508334575
9633.849731735474,323,5,1438326000000,10371,716,1,1,0,1,d,c,8400,4,2012,1,5,2013,"Feb,May,Aug,Nov",737.150268264526
7867.016946337706,331,5,1438326000000,7537,814,1,1,0,1,a,c,670,,,1,14,2015,"Jan,Apr,Jul,Oct",-330.01694633770603
5049.7412621598305,332,5,1438326000000,4432,520,1,1,0,1,a,a,1840,3,2006,0,,,,-617.7412621598305
8664.763233981615,339,5,1438326000000,7080,840,1,1,0,1,a,c,2280,,,1,10,2013,"Mar,Jun,Sept,Dec",-1584.7632339816155
12840.148840181118,344,5,1438326000000,12767,1434,1,1,0,1,a,c,300,4,2011,1,14,2011,"Jan,Apr,Jul,Oct",-73.14884018111843
5674.349164656884,345,5,1438326000000,4989,505,1,1,0,0,a,a,120,,,1,22,2012,"Jan,Apr,Jul,Oct",-685.3491646568837
9047.634440622813,352,5,1438326000000,8204,716,1,1,0,1,d,c,6360,,,1,40,2012,"Mar,Jun,Sept,Dec",-843.6344406228127
8160.3878728072705,353,5,1438326000000,7851,1851,1,1,0,1,b,b,900,,,1,14,2013,"Feb,May,Aug,Nov",-309.38787280727047
11266.472667745835,357,5,1438326000000,10131,1218,1,1,0,1,a,a,2060,10,2008,0,,,,-1135.4726677458348
8099.480806782431,360,5,1438326000000,9135,881,1,1,0,1,a,a,2040,6,2007,0,,,,1035.5191932175694
