gender,age,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
Male,28.5,15,Manager,57000,27000,98,144,No
Male,40.33,16,Clerical,40200,18750,98,36,No
Female,31.08,12,Clerical,21450,12000,98,381,No
Female,31.17,8,Clerical,21900,13200,98,190,No
Male,41.92,15,Manager,45000,21000,98,138,No
Male,29.5,15,Clerical,32100,13500,98,67,No
Male,28,15,Clerical,36000,18750,98,114,No
Female,28.75,12,Clerical,21900,9750,98,0,No
Female,27.42,15,Clerical,27900,12750,98,115,No
Female,52.92,12,Clerical,24000,13500,98,244,No
Female,33.5,16,Clerical,30300,16500,98,143,No
Male,54.33,8,Clerical,28350,12000,98,26,Yes
Male,32.33,15,Clerical,27750,14250,98,34,Yes
Female,41.17,15,Clerical,35100,16800,98,137,Yes
Male,31.92,12,Clerical,27300,13500,97,66,No
Male,46.25,12,Manager,40800,15000,97,24,No
Male,30.75,15,Clerical,46000,14250,97,48,No
Male,32.67,16,Manager,103750,27510,97,70,No
Male,58.5,12,Clerical,42300,14250,97,103,No
Female,34.17,12,Clerical,26250,11550,97,48,No
Female,46.58,16,Clerical,38850,15000,97,17,No
Male,35.17,12,Clerical,21750,12750,97,315,Yes
Female,43.25,15,Clerical,24000,11100,97,75,Yes
Female,28,12,Clerical,16950,9000,97,124,Yes
Female,39.75,15,Clerical,21150,9000,97,171,Yes
Male,30.08,15,Clerical,31050,12600,96,14,No
Male,30.17,19,Manager,60375,27480,96,96,No
Male,44.5,15,Clerical,32550,14250,96,43,No
Male,30.17,19,Manager,135000,79980,96,199,No
Male,26.83,15,Clerical,31200,14250,96,54,No
Male,29.58,12,Clerical,36150,14250,96,83,No
Male,41.17,19,Manager,110625,45000,96,120,No
Male,28.83,15,Clerical,42000,15000,96,68,No
Male,27.83,19,Manager,92000,39990,96,175,No
Male,32.92,17,Manager,81250,30000,96,18,No
Female,31.92,8,Clerical,31350,11250,96,52,No
Male,39.33,12,Clerical,29100,13500,96,113,Yes
Male,36,15,Clerical,31350,15000,96,49,Yes
Male,63.75,16,Clerical,36000,15000,96,46,Yes
Female,38.42,15,Clerical,19200,9000,96,23,Yes
Female,30.33,12,Clerical,23550,11550,96,52,Yes
Male,33.75,15,Clerical,35100,16500,95,90,No
Male,35.42,12,Clerical,23250,14250,95,46,No
Male,35.67,8,Clerical,29250,14250,95,50,No
Male,30.67,12,Custodial,30750,13500,95,307,No
Female,28.33,15,Clerical,22350,12750,95,165,No
Female,63.42,12,Clerical,30000,16500,95,228,No
Male,29.5,12,Custodial,30750,14100,94,240,No
Male,31.5,15,Clerical,34800,16500,94,93,No
Male,34.33,16,Manager,60000,23730,94,59,No
Male,25,12,Clerical,35550,15000,94,48,No
Male,34,15,Clerical,45150,15000,94,40,No
Male,28.17,18,Manager,73750,26250,94,56,No
Male,38.92,12,Clerical,25050,13500,94,444,No
Male,34.25,12,Clerical,27000,15000,94,120,No
Male,49.58,15,Clerical,26850,13500,94,5,No
Male,29.75,15,Clerical,33900,15750,94,78,No
Female,44.42,15,Clerical,26400,13500,94,3,No
Male,28.67,15,Clerical,28050,14250,94,36,Yes
Male,29.5,12,Clerical,30900,15000,94,102,Yes
Male,30.67,8,Clerical,22500,9750,94,36,Yes
Male,63.58,16,Manager,48000,21750,93,22,No
Male,29.5,17,Manager,55000,26250,93,32,No
Male,26.25,16,Manager,53125,21000,93,48,No
Male,29.5,8,Clerical,21900,14550,93,41,No
Male,31.25,19,Manager,78125,30000,93,7,No
Male,42.42,16,Manager,46000,21240,93,35,No
Male,28.75,16,Manager,45250,21480,93,36,No
Male,26.83,16,Manager,56550,25000,93,34,No
Male,30.33,15,Clerical,41100,20250,93,27,No
Male,29.17,17,Manager,82500,34980,93,207,No
Female,29.25,16,Clerical,54000,18000,93,11,No
Female,27.42,12,Clerical,26400,10500,93,0,No
Female,31,15,Clerical,33900,19500,93,192,No
Female,29.08,15,Clerical,24150,11550,93,0,No
Female,31.67,15,Clerical,29250,11550,93,11,No
Female,35.58,12,Clerical,27600,11400,93,6,No
Female,31.17,12,Clerical,22950,10500,93,10,No
Female,32.5,16,Clerical,34800,14550,93,8,No
Female,31.92,16,Clerical,51000,18000,93,22,No
Female,33.08,12,Clerical,24300,10950,93,5,No
Female,29.92,12,Clerical,24750,14250,93,193,Yes
Female,41,12,Clerical,22950,11250,93,0,Yes
Female,30.25,8,Clerical,25050,10950,93,8,Yes
Male,29.75,15,Clerical,25950,17100,92,42,No
Male,61.67,15,Clerical,31650,15750,92,64,No
Male,58.08,12,Clerical,24150,14100,92,130,No
Male,31.25,19,Manager,72500,28740,92,10,No
Male,33.75,19,Manager,68750,27480,92,8,No
Female,32.67,8,Clerical,16200,9750,92,0,No
Female,30.92,12,Clerical,20100,11250,92,24,No
Female,30.42,8,Clerical,24000,10950,92,6,No
Female,31.42,12,Clerical,25950,10950,92,0,No
Female,29.33,12,Clerical,24600,10050,92,44,No
Female,34.25,12,Clerical,28500,10500,92,6,No
Male,27.08,8,Custodial,30750,15000,92,432,Yes
Male,39.67,17,Clerical,40200,19500,92,168,Yes
Male,33.33,8,Custodial,30000,15000,92,144,Yes
Female,56.67,12,Clerical,22050,10950,92,5,Yes
Male,29.75,18,Manager,78250,27480,91,47,No
Male,63.92,16,Manager,60625,22500,91,44,No
Male,59.42,14,Clerical,39900,15750,91,59,No
Male,30.75,19,Manager,97000,35010,91,68,No
Male,32.33,15,Clerical,27450,15750,91,48,No
Male,28.83,15,Clerical,31650,13500,91,18,No
Male,45.67,19,Manager,91250,29490,91,23,No
Female,30.25,12,Clerical,25200,14400,91,83,No
Female,30,12,Clerical,21000,11550,91,108,No
Male,30.33,12,Clerical,30450,15000,91,49,Yes
Male,63,15,Clerical,28350,18000,91,151,Yes
Male,39.42,12,Custodial,30750,9000,91,314,Yes
Male,39.33,12,Custodial,30750,15000,91,240,Yes
Male,48.33,16,Manager,54875,27480,90,68,No
Male,34.33,14,Clerical,37800,16500,90,60,No
Male,29.67,15,Clerical,33450,14100,90,85,No
Male,29.17,15,Clerical,30300,16500,90,16,No
Female,63.5,12,Clerical,31500,18750,90,205,No
Female,32.83,12,Clerical,31650,14250,90,48,No
