Year	Month	Production
1956	1	93.2
1956	2	96
1956	3	95.2
1956	4	77.1
1956	5	70.9
1956	6	64.8
1956	7	70.1
1956	8	77.3
1956	9	79.5
1956	10	100.6
1956	11	100.7
1956	12	107.1
1957	1	95.9
1957	2	82.8
1957	3	83.3
1957	4	80
1957	5	80.4
1957	6	67.5
1957	7	75.7
1957	8	71.1
1957	9	89.3
1957	10	101.1
1957	11	105.2
1957	12	114.1
1958	1	96.3
1958	2	84.4
1958	3	91.2
1958	4	81.9
1958	5	80.5
1958	6	70.4
1958	7	74.8
1958	8	75.9
1958	9	86.3
1958	10	98.7
1958	11	100.9
1958	12	113.8
1959	1	89.8
1959	2	84.4
1959	3	87.2
1959	4	85.6
1959	5	72
1959	6	69.2
1959	7	77.5
1959	8	78.1
1959	9	94.3
1959	10	97.7
1959	11	100.2
1959	12	116.4
1960	1	97.1
1960	2	93
1960	3	96
1960	4	80.5
1960	5	76.1
1960	6	69.9
1960	7	73.6
1960	8	92.6
1960	9	94.2
1960	10	93.5
1960	11	108.5
1960	12	109.4
1961	1	105.1
1961	2	92.5
1961	3	97.1
1961	4	81.4
1961	5	79.1
1961	6	72.1
1961	7	78.7
1961	8	87.1
1961	9	91.4
1961	10	109.9
1961	11	116.3
1961	12	113
1962	1	100
1962	2	84.8
1962	3	94.3
1962	4	87.1
1962	5	90.3
1962	6	72.4
1962	7	84.9
1962	8	92.7
1962	9	92.2
1962	10	114.9
1962	11	112.5
1962	12	118.3
1963	1	106
1963	2	91.2
1963	3	96.6
1963	4	96.3
1963	5	88.2
1963	6	70.2
1963	7	86.5
1963	8	88.2
1963	9	102.8
1963	10	119.1
1963	11	119.2
1963	12	125.1
1964	1	106.1
1964	2	102.1
1964	3	105.2
1964	4	101
1964	5	84.3
1964	6	87.5
1964	7	92.7
1964	8	94.4
1964	9	113
1964	10	113.9
1964	11	122.9
1964	12	132.7
1965	1	106.9
1965	2	96.6
1965	3	127.3
1965	4	98.2
1965	5	100.2
1965	6	89.4
1965	7	95.3
1965	8	104.2
1965	9	106.4
1965	10	116.2
1965	11	135.9
1965	12	134
1966	1	104.6
1966	2	107.1
1966	3	123.5
1966	4	98.8
1966	5	98.6
1966	6	90.6
1966	7	89.1
1966	8	105.2
1966	9	114
1966	10	122.1
1966	11	138
1966	12	142.2
1967	1	116.4
1967	2	112.6
1967	3	123.8
1967	4	103.6
1967	5	113.9
1967	6	98.6
1967	7	95
1967	8	116
1967	9	113.9
1967	10	127.5
1967	11	131.4
1967	12	145.9
1968	1	131.5
1968	2	131
1968	3	130.5
1968	4	118.9
1968	5	114.3
1968	6	85.7
1968	7	104.6
1968	8	105.1
1968	9	117.3
1968	10	142.5
1968	11	140
1968	12	159.8
1969	1	131.2
1969	2	125.4
1969	3	126.5
1969	4	119.4
1969	5	113.5
1969	6	98.7
1969	7	114.5
1969	8	113.8
1969	9	133.1
1969	10	143.4
1969	11	137.3
1969	12	165.2
1970	1	126.9
1970	2	124
1970	3	135.7
1970	4	130
1970	5	109.4
1970	6	117.8
1970	7	120.3
1970	8	121
1970	9	132.3
1970	10	142.9
1970	11	147.4
1970	12	175.9
1971	1	132.6
1971	2	123.7
1971	3	153.3
1971	4	134
1971	5	119.6
1971	6	116.2
1971	7	118.6
1971	8	130.7
1971	9	129.3
1971	10	144.4
1971	11	163.2
1971	12	179.4
1972	1	128.1
1972	2	138.4
1972	3	152.7
1972	4	120
1972	5	140.5
1972	6	116.2
1972	7	121.4
1972	8	127.8
1972	9	143.6
1972	10	157.6
1972	11	166.2
1972	12	182.3
1973	1	153.1
1973	2	147.6
1973	3	157.7
1973	4	137.2
1973	5	151.5
1973	6	98.7
1973	7	145.8
1973	8	151.7
1973	9	129.4
1973	10	174.1
1973	11	197
1973	12	193.9
1974	1	164.1
1974	2	142.8
1974	3	157.9
1974	4	159.2
1974	5	162.2
1974	6	123.1
1974	7	130
1974	8	150.1
1974	9	169.4
1974	10	179.7
1974	11	182.1
1974	12	194.3
1975	1	161.4
1975	2	169.4
1975	3	168.8
1975	4	158.1
1975	5	158.5
1975	6	135.3
1975	7	149.3
1975	8	143.4
1975	9	142.2
1975	10	188.4
1975	11	166.2
1975	12	199.2
1976	1	182.7
1976	2	145.2
1976	3	182.1
1976	4	158.7
1976	5	141.6
1976	6	132.6
1976	7	139.6
1976	8	147
1976	9	166.6
1976	10	157
1976	11	180.4
1976	12	210.2
1977	1	159.8
1977	2	157.8
1977	3	168.2
1977	4	158.4
1977	5	152
